ExpectedQuantile ObservedP
0.99999 0.684809156839397
0.99986 0.594654970939832
0.99926 0.526879580514536
0.9977 0.471988325046662
0.99477 0.426835520881885
0.99017 0.388662258177676
0.9837 0.355757572557646
0.97526 0.326974293335316
0.96489 0.301512619392291
0.95252 0.278709439574491
0.94405 0.265971987482296
0.93819 0.258098709183903
0.92209 0.23934712888485
0.90415 0.222152684735063
0.89124 0.211431350618029
0.88455 0.206312378942178
0.86349 0.191676558390343
0.84139 0.178333512180935
0.84093 0.178073267786934
0.81685 0.165358724708553
0.79432 0.154701236041802
0.79163 0.153496915959961
0.76535 0.142396539362435
0.74989 0.136381119963078
0.73794 0.131957506727748
0.70933 0.122093220819933
0.70794 0.121635604075573
0.67984 0.112795106030795
0.66834 0.109376109198551
0.64941 0.103994728034965
0.63095 0.0989675953197111
0.6183 0.0956803923598489
0.59566 0.0899987383366858
0.58681 0.0878513233871153
0.56234 0.0821376646354679
0.55487 0.0804499881259479
0.53088 0.0751835120352394
0.52295 0.073504005536466
0.50118 0.0690282528921588
0.49029 0.0668694581377029
0.47315 0.0635457277134561
0.45762 0.0606159400637098
0.44668 0.0585986403470353
0.42486 0.0547010033180918
0.42169 0.0541433598234183
0.3981 0.0500950636149124
0.39263 0.0491742815157072
0.37583 0.0464276704710335
0.35976 0.0438628793817735
0.35481 0.04309253565196
0.33496 0.0400187678423451
0.32789 0.0389447398012286
0.31622 0.0372049792649499
0.29854 0.0346300977020943
0.29631 0.0343074518227778
0.28184 0.0322600646280553
0.26607 0.0300716221960615
0.26518 0.0299492536715533
0.25119 0.0280551575791035
0.23713 0.0261911858825347
0.23482 0.0258845183935396
0.22387 0.024458989030168
0.21135 0.0228586065739325
0.20572 0.0221460261191283
0.19952 0.0213748807769988
0.18836 0.019997420159881
0.17783 0.0187108221144354
0.17751 0.0186719829472137
0.16788 0.0175235303822513
0.15849 0.0164158562652525
0.15001 0.0154264531156654
0.14962 0.0153818912962003
0.14125 0.0144269486541526
0.13335 0.0135262159298948
0.12589 0.01268390602753
0.1239 0.0124626664372433
0.11885 0.0119018419175553
0.1122 0.0111702283232102
0.10592 0.0104830942817632
0.1 0.00984336199556018
0.09441 0.009239790312775
0.08912 0.00867578511841196
0.08414 0.00815237609859455
0.07943 0.00765837971931637
0.07499 0.00719917482652035
0.07079 0.00676849398677224
0.06683 0.00636870772512038
0.0631 0.00598976071341478
0.05957 0.00563285715591556
0.05623 0.00529695733964785
0.05309 0.00498270998682423
0.05012 0.00469054318061507
0.04731 0.00441509028724143
0.04467 0.00415678982001923
0.04217 0.0039080693021788
0.03981 0.00367526258858318
0.03758 0.00346009079024742
0.03548 0.00325869503222818
0.0335 0.00306929391731864
0.03162 0.00289010153797369
0.02985 0.00272114438527728
0.02818 0.00256190019870945
0.02661 0.0024142651847862
0.02512 0.00227193843830556
0.02371 0.00214038329365242
0.02239 0.00201687327599721
0.02113 0.00189894852639507
0.01995 0.00178981164611668
0.01884 0.00168654609468777
0.01778 0.00158811980470067
0.01679 0.00149838893190999
0.01585 0.001412980153781
0.01496 0.00133096789169936
0.01413 0.00125521634239775
0.01334 0.0011829974856396
0.01259 0.00111583305960425
0.01188 0.00105061509506706
0.01122 0.000989932605032815
0.01059 0.000932736955191955
0.01 0.000879332342053886
0.00944 0.000828405982507627
0.00891 0.000780603214167783
0.00841 0.000736999974187237
0.00794 0.000694887928319859
0.0075 0.000655279369731406
0.00708 0.000618420938527305
0.00668 0.000582473754015384
0.00631 0.000549396858448789
0.00596 0.000519237418219656
0.00562 0.000489285114023576
0.00531 0.000460621303247628
0.00501 0.000434036011545996
0.00473 0.000409392952038458
0.00447 0.000387176586952056
0.00422 0.000364736198421912
0.00398 0.000344271819035437
0.00376 0.000324483005829281
0.00355 0.000305957169449933
0.00335 0.000288916637294604
0.00316 0.000272169317666298
0.00299 0.000257148699092484
0.00282 0.000242635537538382
0.00266 0.000228653548045162
0.00251 0.000215981945032419
0.00237 0.000204003533793781
0.00224 0.000192479759688315
0.00211 0.000181506235197488
0.002 0.000171818427657465
0.00188 0.000161729952302531
0.00178 0.00015287687599035
0.00168 0.00014418591499544
0.00158 0.000135144444794441
0.0015 0.000128270919502985
0.00141 0.000119985096961676
0.00133 0.000112694162753732
0.00126 0.000106871367755979
0.00119 0.000100587051162433
0.00112 9.46249121653377e-05
0.00106 8.95743978401767e-05
0.001 8.46813819215556e-05
0.00094 7.98232907652969e-05
0.00089 7.56461232964538e-05
0.00084 7.14561986907532e-05
0.00079 6.72534272411213e-05
0.00075 6.38906006181485e-05
0.00071 6.04639505080607e-05
0.00067 5.70455747502186e-05
0.00063 5.31733412717793e-05
6e-04 5.07400938231314e-05
0.00056 4.72735921262358e-05
0.00053 4.49935850197797e-05
5e-04 4.24420984716998e-05
0.00047 3.97854141108543e-05
0.00045 3.80679904600477e-05
0.00042 3.56811237313747e-05
4e-04 3.41350007170444e-05
0.00038 3.25002915199195e-05
0.00035 2.98763855372605e-05
0.00033 2.81601395764632e-05
0.00032 2.73599989780123e-05
3e-04 2.56834259565064e-05
0.00028 2.38147936281968e-05
0.00027 2.29572472488957e-05
0.00025 2.12101458901731e-05
0.00024 2.02577550893656e-05
0.00022 1.85086891302167e-05
0.00021 1.76438108625157e-05
2e-04 1.68924294175624e-05
0.00019 1.60202119257223e-05
0.00018 1.51756442750298e-05
0.00017 1.44091019227046e-05
0.00016 1.3611324634543e-05
0.00015 1.28128419357929e-05
0.00014 1.20105744431872e-05
0.00013 1.10508919802222e-05
0.00012 1.01947218944743e-05
0.00011 9.44251562171825e-06
