ExpectedQuantile ObservedP
0.00316 0.0016539658664072
0.00299 0.00155850178592853
0.00282 0.0014673836939173
0.00266 0.00138124764414793
0.00251 0.00130058594314597
0.00237 0.00122699156230643
0.00224 0.00115493604901518
0.00211 0.00108388675754367
0.002 0.0010246703814536
0.00188 0.000958558211497818
0.00178 0.000904045966670264
0.00168 0.000851816253804372
0.00158 0.000796930197463519
0.0015 0.00075582685888842
0.00141 0.00070791339692855
0.00133 0.000664037261874029
0.00126 0.00062516175267513
0.00119 0.000587335120559529
0.00112 0.000548628382969207
0.00106 0.000519524919892045
0.001 0.000487710350505988
0.00094 0.000457478442006831
0.00089 0.00043020516576886
0.00084 0.000406386732383246
0.00079 0.000380854895166483
0.00075 0.00036110258717259
0.00071 0.000340983815289242
0.00067 0.000319489905437065
0.00063 0.000299924438955324
6e-04 0.000284854232833531
0.00056 0.000263908973122118
0.00053 0.000250634534512462
5e-04 0.000235807312299441
0.00047 0.000219999806122417
0.00045 0.000210560675349747
0.00042 0.000195892826367228
4e-04 0.000185996630409746
0.00038 0.00017653427408737
0.00035 0.000161399875283519
0.00033 0.000152040672547371
0.00032 0.000146408976807733
3e-04 0.000137393028929123
0.00028 0.000127252187422155
0.00027 0.000121712482657688
0.00025 0.000112837796481635
0.00024 0.000107898900902348
0.00022 9.85148845776829e-05
0.00021 9.41490292880598e-05
2e-04 8.9819341196784e-05
0.00019 8.53656586886631e-05
0.00018 8.12242034210486e-05
0.00017 7.70122746736046e-05
0.00016 7.21416267598363e-05
0.00015 6.76260202991941e-05
0.00014 6.29863756245186e-05
0.00013 5.81420098832997e-05
0.00012 5.3180588940438e-05
0.00011 4.77021448687109e-05
1e-04 4.3466149194149e-05
9e-05 3.87040097784563e-05
8e-05 3.42241170168123e-05
7e-05 3.01520331378313e-05
6e-05 2.55162037074985e-05
5e-05 2.0626376801669e-05
4e-05 1.64733821867991e-05
3e-05 1.2140181984921e-05
2e-05 7.89123144839809e-06
1e-05 3.93874163417962e-06
