ExpectedQuantile ObservedP
0.99999 0.999991032854293
0.96652 0.954030866365533
0.9659 0.941707610508614
0.96448 0.928750253782214
0.96205 0.915151655625514
0.95829 0.900580424229922
0.95308 0.885048903757484
0.94629 0.868411418423087
0.94405 0.863443215559236
0.938 0.850800504235076
0.92808 0.832136985016728
0.91656 0.812477487206476
0.89124 0.784252833327133
0.86285 0.756273198908833
0.84465 0.732105871715058
0.84139 0.727585327245583
0.83023 0.711703279083534
0.81838 0.693919522257761
0.80842 0.678112694145527
0.79432 0.663837684842645
0.75748 0.62862952134663
0.74989 0.621464945498557
0.70794 0.582149596148351
0.70088 0.57553860292466
0.66834 0.545419939107894
0.64636 0.525243525011666
0.63095 0.511168277510829
0.59566 0.47921436405356
0.59398 0.477705469942089
0.56234 0.449169200078748
0.5468 0.435276025991367
0.53088 0.421148163795547
0.50203 0.395604139109332
0.50118 0.394857061585684
0.47315 0.370243002020784
0.46116 0.359765205953217
0.44668 0.347119445830745
0.42446 0.327857506368064
0.42169 0.32547716392577
0.3981 0.30516797070322
0.39071 0.29883293612892
0.37583 0.286107729412828
0.35933 0.272165001852555
0.35481 0.268341978990629
0.33496 0.2516760489502
0.33011 0.247630094722014
0.31622 0.236033453402612
0.30377 0.225702656357725
0.29854 0.221384673684238
0.28184 0.207656400244553
0.27934 0.205594269317479
0.26607 0.194739764276059
0.2571 0.187457269227025
0.25119 0.182680497875204
0.23713 0.171369567247589
0.23631 0.170704141569935
0.22387 0.160776125308809
0.21732 0.155547626211034
0.21135 0.150764959203998
0.19987 0.141757969082872
0.19952 0.141482189108092
0.18836 0.132716497510637
0.18414 0.129424658607381
0.17783 0.12450562139093
0.16926 0.117905320325902
0.16788 0.116851697142231
0.15849 0.109630640578082
0.15578 0.107554132753227
0.14962 0.10287908407598
0.14292 0.0978109569334289
0.14125 0.0965444494626935
0.13335 0.0906231179987742
0.13087 0.0887854848753453
0.12589 0.0850955295375199
0.11969 0.0805006660090294
0.11885 0.0798779803670567
0.1122 0.0749977269861105
0.10956 0.0730567858804911
0.10592 0.0703958014357869
0.1 0.0661191116677546
0.09441 0.0620813559590252
0.08912 0.0582929029263077
0.08414 0.0547657518730557
0.07943 0.0514251940870621
0.07499 0.0483120654994718
0.07079 0.0453859928673422
0.06683 0.0426066180556901
0.0631 0.0400340253730151
0.05957 0.0376113193918071
0.05623 0.035328322098151
0.05309 0.0331820596657735
0.05012 0.0311962272574861
0.04731 0.0293003586957125
0.04467 0.0275601835350934
0.04217 0.025903297507827
0.03981 0.024346459747332
0.03758 0.0228746230555265
0.03548 0.0214966898565726
0.0335 0.0202069519772901
0.03162 0.0189916667557356
0.02985 0.0178528323535901
0.02818 0.0167778790933361
0.02661 0.0157782727415174
0.02512 0.014832523188603
0.02371 0.0139335043727687
0.02239 0.0131161213044603
0.02113 0.0123307816476891
0.01995 0.0115970400498643
0.01884 0.0109009260996479
0.01778 0.0102445854718782
0.01679 0.00964274778191287
0.01585 0.00906907323327655
0.01496 0.00853183391686507
0.01413 0.00802576656137033
0.01334 0.00754929164506857
0.01259 0.00709012104529294
0.01188 0.00666569820367702
0.01122 0.00627316996533422
0.01059 0.00589500441989255
0.01 0.00554774383966705
0.00944 0.00521455701032369
0.00891 0.00490399455784907
0.00841 0.00461510692122358
0.00794 0.00434181520917842
0.0075 0.00409025985294698
0.00708 0.00384715097466126
0.00668 0.00362043116385047
0.00631 0.00340940134931078
0.00596 0.00321024869002828
0.00562 0.0030161183632047
0.00531 0.00284398305277356
0.00501 0.00267562242916786
0.00473 0.00251621392925117
0.00447 0.00237396809033164
0.00422 0.00223536819786396
0.00398 0.0021048501376667
0.00376 0.00198361867804164
0.00355 0.00186735211314304
0.00335 0.00175777775671204
